job_title,ai_impact,task,ai_model,domain
Bike Mechanic,0.18,327.00,1249.00,Medical & Healthcare
Crew Member,0.18,504.00,1900.00,Supply Chain & Logistics
Exterminator,0.18,208.00,946.00,Law Enforcement
Facilities Assistant,0.18,382.00,1845.00,Construction
Farm Worker,0.18,203.00,822.00,Sales & Marketing
Handyman,0.18,212.00,919.00,Hospitality
Heavy Equipment Operators,0.18,235.00,1009.00,Communication & PR
Installation Manager,0.18,673.00,2670.00,Data & IT
Insulator,0.18,186.00,768.00,Administrative & Clerical
Journeyman,0.18,206.00,838.00,Leadership & Strategy
Lathe Machinist,0.18,223.00,879.00,Medical & Healthcare
Line Service Technician,0.18,402.00,2017.00,Supply Chain & Logistics
Low Voltage Technician,0.18,434.00,2115.00,Law Enforcement
Maintenance,0.18,457.00,1854.00,Construction
Maintenance Worker,0.18,421.00,1649.00,Sales & Marketing
Marine Mechanic,0.18,400.00,1957.00,Hospitality
Marine Surveyor,0.18,482.00,2242.00,Communication & PR
Mechanic,0.18,358.00,1485.00,Data & IT
Millwright,0.18,309.00,1674.00,Administrative & Clerical
Motorcycle Technician,0.18,385.00,1932.00,Leadership & Strategy
Paint Technician,0.18,393.00,1801.00,Medical & Healthcare
Parts Specialist,0.18,580.00,2747.00,Supply Chain & Logistics
Pipeline,0.18,485.00,1928.00,Law Enforcement
Pressure Washer,0.18,257.00,1296.00,Construction
Pump Operator,0.17,487.00,2005.00,Sales & Marketing
Roustabout,0.17,468.00,1837.00,Hospitality
School Custodian,0.17,578.00,2449.00,Communication & PR
Steamfitter,0.17,486.00,2023.00,Data & IT
Steel Worker,0.17,483.00,1917.00,Administrative & Clerical
Substation Technician,0.16,498.00,2066.00,Leadership & Strategy
Tower Crane Operator,0.16,481.00,1909.00,Medical & Healthcare
Tree Climber,0.15,474.00,1836.00,Supply Chain & Logistics
Tree Trimmer,0.15,476.00,1917.00,Law Enforcement
Utility Operator,0.15,531.00,2160.00,Construction
Welder Apprentice,0.15,516.00,2106.00,Sales & Marketing
Welder Helper,0.15,518.00,2109.00,Hospitality
Coating Inspector,0.15,464.00,1732.00,Communication & PR
Fabricator,0.15,246.00,1018.00,Data & IT
Freight Handler,0.15,210.00,998.00,Administrative & Clerical
Industrial Cleaner,0.15,181.00,865.00,Leadership & Strategy
Parts Clerk,0.15,592.00,2344.00,Medical & Healthcare
Product Tester,0.15,782.00,3424.00,Supply Chain & Logistics
Production Manager,0.15,927.00,3806.00,Law Enforcement
Production Supervisor,0.15,913.00,3764.00,Construction
Shift Leader,0.15,996.00,3933.00,Sales & Marketing
Tool And Die Maker,0.15,503.00,2128.00,Hospitality
Platform Engineer,0.15,926.00,3846.00,Communication & PR
Process Technician,0.15,744.00,3051.00,Data & IT
Release Engineer,0.15,1179.00,4468.00,Administrative & Clerical
Software Development Manager,0.15,1238.00,4840.00,Leadership & Strategy
Software Engineering Manager,0.15,1235.00,4837.00,Medical & Healthcare
Staff Engineer,0.15,1162.00,4576.00,Supply Chain & Logistics
Director Of Sustainability,0.15,834.00,3231.00,Law Enforcement
Health Policy Analyst,0.15,858.00,3197.00,Construction
Psychometrician,0.15,729.00,2848.00,Sales & Marketing
Sustainability Consultant,0.15,925.00,3786.00,Hospitality
Sustainability Coordinator,0.15,922.00,3790.00,Communication & PR
Instructional Designer,0.15,1387.00,5666.00,Data & IT
Junior Graphic Designer,0.15,1217.00,5123.00,Administrative & Clerical
Activities Coordinator,0.15,1085.00,4318.00,Leadership & Strategy
Career Specialist,0.15,1074.00,4405.00,Medical & Healthcare
Chief Human Resources Officer,0.15,916.00,3721.00,Supply Chain & Logistics
Construction Supervisor,0.15,847.00,3358.00,Law Enforcement
Corporate Travel Consultant,0.15,1077.00,4443.00,Construction
Hr Consultant,0.15,1071.00,4272.00,Sales & Marketing
Hr Recruiter,0.15,1072.00,4257.00,Hospitality
Human Resource Consultant,0.15,1058.00,4200.00,Communication & PR
Human Resources Associate,0.15,1049.00,4152.00,Data & IT
Human Resources Recruiter,0.15,1070.00,4234.00,Administrative & Clerical
Labor Relations Specialist,0.15,871.00,3744.00,Leadership & Strategy
Nurse Recruiter,0.15,942.00,4011.00,Medical & Healthcare
Attorney,0.15,800.00,3198.00,Supply Chain & Logistics
Attorney General,0.15,774.00,3080.00,Law Enforcement
Judicial Law Clerk,0.15,698.00,2908.00,Construction
Law Clerk,0.15,650.00,2816.00,Sales & Marketing
Law Librarian,0.15,672.00,3040.00,Hospitality
Lawyer,0.15,764.00,3329.00,Communication & PR
Negotiator,0.15,876.00,3713.00,Data & IT
Horse Trainer,0.15,230.00,885.00,Administrative & Clerical
Kennel Assistant,0.15,222.00,937.00,Leadership & Strategy
Kennel Attendant,0.15,222.00,931.00,Medical & Healthcare
Kennel Technician,0.15,220.00,929.00,Supply Chain & Logistics
Veterinary Pathologist,0.15,511.00,2048.00,Law Enforcement
Party Chief,0.15,565.00,2335.00,Construction
Sushi Chef,0.15,453.00,2032.00,Sales & Marketing
Barber,0.15,310.00,1258.00,Hospitality
Care Taker,0.15,465.00,1741.00,Communication & PR
Caretaker,0.15,464.00,1829.00,Data & IT
Home Attendant,0.15,401.00,1604.00,Administrative & Clerical
Home Care Provider,0.15,409.00,1607.00,Leadership & Strategy
Home Caregiver,0.15,414.00,1640.00,Medical & Healthcare
Personal Caregiver,0.15,523.00,2011.00,Supply Chain & Logistics
Private Caregiver,0.15,523.00,2172.00,Law Enforcement
Senior Caregiver,0.15,640.00,2521.00,Construction
Detention Officer,0.15,519.00,1946.00,Sales & Marketing
Firearms Instructor,0.15,349.00,1315.00,Hospitality
Guard,0.15,326.00,1280.00,Communication & PR
Immigration Officer,0.15,546.00,1897.00,Data & IT
Juvenile Detention Officer,0.15,502.00,1928.00,Administrative & Clerical
Military Officer,0.15,572.00,2344.00,Leadership & Strategy
Patrol Officer,0.15,565.00,2259.00,Medical & Healthcare
Police Cadet,0.15,537.00,2063.00,Supply Chain & Logistics
Police Lieutenant,0.15,558.00,2265.00,Law Enforcement
Police Sergeant,0.15,561.00,2281.00,Construction
Probation Officer,0.15,661.00,2682.00,Sales & Marketing
Public Safety Officer,0.15,817.00,3365.00,Hospitality
Cyber Security,0.15,813.00,3139.00,Communication & PR
Devops,0.15,897.00,3315.00,Data & IT
Field Technician,0.15,794.00,2906.00,Administrative & Clerical
Information Security,0.15,1139.00,4371.00,Leadership & Strategy
Information Technology,0.15,1204.00,4579.00,Medical & Healthcare
Infrastructure Manager,0.15,1175.00,4387.00,Supply Chain & Logistics
It Operations Manager,0.15,1208.00,4479.00,Law Enforcement
It Program Manager,0.15,1221.00,4501.00,Construction
Monitor Technician,0.15,756.00,3115.00,Sales & Marketing
Network Operations Manager,0.15,1053.00,4388.00,Hospitality
Senior Program Manager,0.15,1213.00,5052.00,Communication & PR
Systems Manager,0.15,1216.00,4975.00,Data & IT
Technical Lead,0.15,1259.00,4828.00,Administrative & Clerical
Addiction Counselor,0.15,800.00,3204.00,Leadership & Strategy
Behavior Analyst,0.15,811.00,3056.00,Medical & Healthcare
Behavioral Therapist,0.15,786.00,2995.00,Supply Chain & Logistics
Chemical Dependency Counselor,0.15,771.00,2991.00,Law Enforcement
Counseling Psychologist,0.15,739.00,2892.00,Construction
Developmental Psychologist,0.15,722.00,2886.00,Sales & Marketing
Licensed Professional Counselor,0.15,655.00,2892.00,Hospitality
Rehabilitation Counselor,0.15,783.00,3133.00,Communication & PR
Vocational Rehabilitation Counselor,0.15,746.00,2931.00,Data & IT
Commercial Real Estate Broker,0.15,938.00,3670.00,Administrative & Clerical
Housing Coordinator,0.15,673.00,2555.00,Leadership & Strategy
Lease Operator,0.15,517.00,1986.00,Medical & Healthcare
Real Estate Administrative Assistant,0.15,1076.00,4249.00,Supply Chain & Logistics
Real Estate Agent,0.15,1093.00,4314.00,Law Enforcement
Real Estate Appraiser,0.15,1014.00,4121.00,Construction
Real Estate Assistant,0.15,1056.00,4199.00,Sales & Marketing
Real Estate Associate,0.15,1058.00,4199.00,Hospitality
Real Estate Broker,0.15,1071.00,4256.00,Communication & PR
Residential Property Manager,0.15,1054.00,4175.00,Data & IT
Archaeologist,0.15,698.00,2793.00,Administrative & Clerical
Clinical Associate,0.15,741.00,2848.00,Leadership & Strategy
Energy Consultant,0.15,889.00,3298.00,Medical & Healthcare
Gemologist,0.15,286.00,1183.00,Supply Chain & Logistics
Geologist,0.15,400.00,1534.00,Law Enforcement
Library Aide,0.15,632.00,2846.00,Construction
Medical Engineer,0.15,666.00,3053.00,Sales & Marketing
Medical Scientist,0.15,710.00,3157.00,Hospitality
Physical Scientist,0.15,537.00,2543.00,Communication & PR
Radiation Safety Officer,0.15,649.00,2822.00,Data & IT
Research Scientist,0.15,849.00,3400.00,Administrative & Clerical
Wildlife Biologist,0.15,531.00,2245.00,Leadership & Strategy
Assessor,0.15,822.00,3326.00,Medical & Healthcare
Asset Management Analyst,0.15,885.00,3693.00,Supply Chain & Logistics
Bank Examiner,0.15,817.00,3332.00,Law Enforcement
Banking Consultant,0.15,911.00,3899.00,Construction
Controller,0.15,839.00,3328.00,Sales & Marketing
Corporate Controller,0.15,848.00,3330.00,Hospitality
Finance Controller,0.15,983.00,3620.00,Communication & PR
Financial Advisor,0.15,990.00,3837.00,Data & IT
Financial Advisor Trainee,0.15,956.00,3721.00,Administrative & Clerical
Financial Controller,0.15,975.00,3604.00,Leadership & Strategy
Financial Manager,0.15,962.00,3573.00,Medical & Healthcare
In House Counsel,0.15,698.00,2743.00,Supply Chain & Logistics
Investment Manager,0.15,839.00,3274.00,Law Enforcement
Lending Manager,0.15,1016.00,4131.00,Construction
Loan Consultant,0.15,1034.00,4224.00,Sales & Marketing
Loan Officer Assistant,0.15,1021.00,4171.00,Hospitality
Mortgage Advisor,0.15,1001.00,3967.00,Communication & PR
Mortgage Specialist,0.15,977.00,3902.00,Data & IT
Personal Financial Advisor,0.15,1035.00,4230.00,Administrative & Clerical
Premium Auditor,0.15,726.00,3031.00,Leadership & Strategy
Reimbursement Specialist,0.15,899.00,3586.00,Medical & Healthcare
Senior Auditor,0.15,1031.00,4047.00,Supply Chain & Logistics
Senior Tax Accountant,0.15,1032.00,4050.00,Law Enforcement
Senior Treasury Analyst,0.15,1052.00,4104.00,Construction
Case Aide,0.15,824.00,3508.00,Sales & Marketing
Supervisor,0.15,1202.00,4507.00,Hospitality
Contract Analyst,0.15,862.00,3657.00,Communication & PR
Executive Manager,0.15,995.00,3985.00,Data & IT
Front Desk Manager,0.15,841.00,3660.00,Administrative & Clerical
Global Account Manager,0.15,978.00,3921.00,Leadership & Strategy
Manager,0.15,1316.00,5181.00,Medical & Healthcare
Market Manager,0.15,1234.00,4926.00,Supply Chain & Logistics
Patient Access Manager,0.15,1101.00,4517.00,Law Enforcement
Regional Director,0.15,1182.00,4385.00,Construction
Senior Manager,0.15,1174.00,4360.00,Sales & Marketing
Vice President Of Finance,0.15,1138.00,4326.00,Hospitality
Vice President Of Operations,0.15,1147.00,4347.00,Communication & PR
Vp Of Finance,0.15,1118.00,4251.00,Data & IT
Demonstrator,0.15,845.00,3937.00,Administrative & Clerical
Sales Lead,0.15,1154.00,4417.00,Leadership & Strategy
Sales Team Leader,0.15,1157.00,4511.00,Medical & Healthcare
Salesperson,0.15,1104.00,4519.00,Supply Chain & Logistics
Technical Account Manager,0.15,1181.00,4640.00,Law Enforcement
Territory Account Manager,0.15,1156.00,4579.00,Construction
Territory Sales Manager,0.15,1154.00,4575.00,Sales & Marketing
Wholesale Account Executive,0.15,1080.00,4211.00,Hospitality
Mds Coordinator,0.15,827.00,3235.00,Communication & PR
Public Health Nurse,0.15,740.00,2968.00,Data & IT
Utilization Review Nurse,0.15,768.00,3134.00,Administrative & Clerical
Bilingual,0.15,848.00,3512.00,Leadership & Strategy
Optical Manager,0.15,633.00,2799.00,Medical & Healthcare
Recreation Aide,0.15,609.00,2418.00,Supply Chain & Logistics
Architectural Engineer,0.15,736.00,3015.00,Law Enforcement
Clinical Engineer,0.15,653.00,2764.00,Construction
Commissioning Engineer,0.15,658.00,2529.00,Sales & Marketing
Electrical Apprentice,0.15,577.00,2073.00,Hospitality
Electromechanical Technician,0.15,718.00,2526.00,Communication & PR
Energy Manager,0.15,891.00,3222.00,Data & IT
Engineer,0.15,814.00,3007.00,Administrative & Clerical
Flight Test Engineer,0.15,704.00,2536.00,Leadership & Strategy
General Engineer,0.15,790.00,2828.00,Medical & Healthcare
Hardware Technician,0.15,785.00,2771.00,Supply Chain & Logistics
Instrument Engineer,0.15,773.00,2730.00,Law Enforcement
Academic Advisor,0.15,905.00,3602.00,Construction
Academic Counselor,0.15,885.00,3544.00,Sales & Marketing
Admissions Counselor,0.15,885.00,3554.00,Hospitality
Agriculture Teacher,0.15,682.00,2797.00,Communication & PR
Assistant Principal,0.15,815.00,3341.00,Data & IT
Assistant Superintendent,0.15,775.00,3221.00,Administrative & Clerical
Bilingual Teacher,0.15,828.00,3274.00,Leadership & Strategy
Business Education Teacher,0.15,769.00,3071.00,Medical & Healthcare
Curator,0.15,957.00,3964.00,Supply Chain & Logistics
Director Of Special Education,0.15,777.00,2715.00,Law Enforcement
Education Administrator,0.15,838.00,3498.00,Construction
Education Coordinator,0.15,848.00,3590.00,Sales & Marketing
Elementary School Principal,0.15,678.00,2750.00,Hospitality
Foreign Language Teacher,0.15,566.00,2110.00,Communication & PR
Guitar Teacher,0.15,511.00,1879.00,Data & IT
Learning Consultant,0.15,1004.00,4190.00,Administrative & Clerical
Nursing Faculty,0.15,716.00,2814.00,Leadership & Strategy
Nursing Instructor,0.15,710.00,2811.00,Medical & Healthcare
Residence Hall Director,0.15,975.00,3743.00,Supply Chain & Logistics
Special Needs Teacher,0.15,940.00,3542.00,Law Enforcement
Teacher,0.15,1083.00,4106.00,Construction
Technology Teacher,0.15,1133.00,4256.00,Sales & Marketing
University President,0.15,1100.00,4081.00,Hospitality
Entertainer,0.15,718.00,2842.00,Communication & PR
Fashion Designer,0.15,907.00,3977.00,Data & IT
Floral Assistant,0.15,437.00,1943.00,Administrative & Clerical
Junior Art Director,0.15,1120.00,4809.00,Leadership & Strategy
Producer,0.15,1186.00,4984.00,Medical & Healthcare
Senior Architect,0.15,1136.00,4834.00,Supply Chain & Logistics
Set Designer,0.15,1131.00,4772.00,Law Enforcement
Storyboard Artist,0.15,1137.00,4903.00,Construction
Venue Manager,0.15,1187.00,4970.00,Sales & Marketing
Associate Dentist,0.15,674.00,2621.00,Hospitality
Behavior Technician,0.15,739.00,2905.00,Communication & PR
Care Assistant,0.15,612.00,2606.00,Data & IT
Certified Medical Assistant,0.15,701.00,2826.00,Administrative & Clerical
Chiropractic Assistant,0.15,659.00,2721.00,Leadership & Strategy
Clinical Assistant,0.15,748.00,2966.00,Medical & Healthcare
Clinician,0.15,724.00,2766.00,Supply Chain & Logistics
Direct Care Professional,0.15,665.00,2761.00,Law Enforcement
Doctor Assistant,0.15,802.00,3044.00,Construction
Emergency Medicine Physician Assistant,0.15,319.00,1159.00,Sales & Marketing
Health Aide,0.15,270.00,1051.00,Hospitality
Health Assistant,0.15,272.00,1053.00,Communication & PR
Hospice Aide,0.15,276.00,1101.00,Data & IT
Interventional Radiologist,0.15,304.00,1140.00,Administrative & Clerical
Lpn,0.15,570.00,2178.00,Leadership & Strategy
Lvn,0.15,572.00,2181.00,Medical & Healthcare
Medical Assistant,0.15,703.00,2617.00,Supply Chain & Logistics
Mental Health Assistant,0.15,644.00,2545.00,Law Enforcement
Warehouse Lead,0.15,984.00,3971.00,Construction
Warehouse Supervisor,0.15,984.00,3940.00,Sales & Marketing
Bilingual Customer Service,0.15,1275.00,4798.00,Hospitality
Call Center Representative,0.15,1274.00,4798.00,Communication & PR
Client Services Manager,0.15,1217.00,4757.00,Data & IT
Customer Service,0.15,1254.00,4766.00,Administrative & Clerical
Customer Service Representative,0.15,1259.00,4772.00,Leadership & Strategy
Customer Service Supervisor,0.15,1227.00,4704.00,Medical & Healthcare
Director Of Customer Service,0.15,1203.00,4658.00,Supply Chain & Logistics
Account Executive,0.15,1162.00,4586.00,Law Enforcement
Advertising Director,0.15,1250.00,5196.00,Construction
Animator,0.15,1081.00,4149.00,Sales & Marketing
Communications Coordinator,0.15,1224.00,5144.00,Hospitality
Assistant Store Manager,0.15,920.00,3828.00,Communication & PR
Bookstore Manager,0.15,888.00,3743.00,Data & IT
Grocery Manager,0.15,648.00,2501.00,Administrative & Clerical
Meat Manager,0.15,575.00,2668.00,Leadership & Strategy
Produce Manager,0.15,670.00,2916.00,Medical & Healthcare
Assistant Construction Manager,0.15,940.00,3773.00,Supply Chain & Logistics
Building Official,0.15,908.00,3641.00,Law Enforcement
Chief Estimator,0.15,881.00,3492.00,Construction
Construction Coordinator,0.15,919.00,3601.00,Sales & Marketing
Construction Foreman,0.15,887.00,3318.00,Hospitality
Construction Manager,0.15,930.00,3696.00,Communication & PR
Electrical Helper,0.15,251.00,996.00,Data & IT
Fence Installer,0.15,198.00,908.00,Administrative & Clerical
Fork Lift Operator,0.15,218.00,943.00,Leadership & Strategy
Paver,0.15,201.00,1091.00,Medical & Healthcare
Plumber,0.15,189.00,1028.00,Supply Chain & Logistics
Scaffold Builder,0.15,465.00,1840.00,Law Enforcement
Welder,0.15,515.00,2097.00,Construction
Executive Recruiter,0.15,947.00,3897.00,Sales & Marketing
Business Specialist,0.15,1247.00,5360.00,Hospitality
Assistant Operations Manager,0.15,1134.00,4936.00,Communication & PR
Paraprofessional,0.15,1040.00,4613.00,Data & IT
Chief Diversity Officer,0.15,870.00,3222.00,Administrative & Clerical
Design Manager,0.15,1297.00,5252.00,Leadership & Strategy
Lacrosse Coach,0.15,399.00,1707.00,Medical & Healthcare
Swim Coach,0.15,394.00,1700.00,Supply Chain & Logistics
Tennis Coach,0.15,392.00,1698.00,Law Enforcement
Volleyball Coach,0.15,393.00,1695.00,Construction
Wrestling Coach,0.15,392.00,1693.00,Sales & Marketing
Electrical Assistant,0.15,336.00,1274.00,Hospitality
Electrician,0.15,324.00,1222.00,Communication & PR
Electrician Helper,0.15,316.00,1200.00,Data & IT
Dock Supervisor,0.15,772.00,2986.00,Administrative & Clerical
Journeyman Electrician,0.15,330.00,1256.00,Leadership & Strategy
Journeyman Lineman,0.15,333.00,1190.00,Medical & Healthcare
Plant Supervisor,0.15,735.00,3079.00,Supply Chain & Logistics
Nurse Supervisor,0.15,552.00,2365.00,Law Enforcement
Pharmacy Manager,0.15,691.00,2759.00,Construction
Football Coach,0.15,402.00,1708.00,Sales & Marketing
Gymnastics Coach,0.15,401.00,1749.00,Hospitality
Soccer Coach,0.15,407.00,1729.00,Communication & PR
Bid Manager,0.15,1060.00,4503.00,Data & IT
Interpreter,0.15,767.00,3843.00,Administrative & Clerical
Team Manager,0.15,1131.00,4894.00,Leadership & Strategy
Baggage Handler,0.15,281.00,1102.00,Medical & Healthcare
Food Runner,0.15,462.00,1985.00,Supply Chain & Logistics
Surveillance Operator,0.15,615.00,2665.00,Law Enforcement
Chief Marketing Officer,0.15,1268.00,5313.00,Construction
Executive Director,0.15,1129.00,4402.00,Sales & Marketing
Managing Director,0.15,1116.00,4285.00,Hospitality
Senior Vice President,0.15,1065.00,4113.00,Communication & PR
Helper,0.15,545.00,2280.00,Data & IT
Summer Camp Counselor,0.15,990.00,4169.00,Administrative & Clerical
Property Manager,0.15,1028.00,4703.00,Leadership & Strategy
Real Estate Developer,0.15,956.00,4077.00,Medical & Healthcare
Inventory Supervisor,0.15,913.00,3625.00,Supply Chain & Logistics
Investment Officer,0.15,986.00,3652.00,Law Enforcement
Revenue Manager,0.15,1042.00,4230.00,Construction
Senior Staff Accountant,0.15,941.00,3944.00,Sales & Marketing
Admissions Representative,0.15,1082.00,4543.00,Hospitality
Assistant Registrar,0.15,988.00,4086.00,Communication & PR
Junior Copywriter,0.15,1266.00,5425.00,Data & IT
Landscape Designer,0.15,694.00,3033.00,Administrative & Clerical
Business Advisor,0.15,1242.00,5280.00,Leadership & Strategy
Contract Manager,0.15,1135.00,4512.00,Medical & Healthcare
Director Of Environmental Services,0.15,891.00,3549.00,Supply Chain & Logistics
Business Assistant,0.15,1127.00,4627.00,Law Enforcement
Diversity Manager,0.15,851.00,3555.00,Construction
Executive,0.15,1191.00,4966.00,Sales & Marketing
General Counsel,0.15,1056.00,4223.00,Hospitality
Grants Manager,0.15,1047.00,4597.00,Communication & PR
Management Trainee,0.15,942.00,3787.00,Data & IT
Medical Director,0.15,821.00,3394.00,Administrative & Clerical
Membership Director,0.15,749.00,3073.00,Leadership & Strategy
President,0.15,756.00,3329.00,Medical & Healthcare
Principal,0.15,752.00,3340.00,Supply Chain & Logistics
Resident Director,0.15,665.00,2491.00,Law Enforcement
School Director,0.15,724.00,3011.00,Construction
Vice President,0.15,1127.00,4334.00,Sales & Marketing
Part Time Sales Associate,0.15,701.00,2858.00,Hospitality
Sales Clerk,0.15,892.00,4091.00,Communication & PR
Sales Contractor,0.15,915.00,4355.00,Data & IT
Sales Engineer,0.15,968.00,4215.00,Administrative & Clerical
Sales Professional,0.15,959.00,4467.00,Leadership & Strategy
Salesman,0.15,950.00,4446.00,Medical & Healthcare
Strategic Account Manager,0.15,1209.00,5127.00,Supply Chain & Logistics
Technical Sales Manager,0.15,1185.00,5065.00,Law Enforcement
Territory Manager,0.15,1122.00,4841.00,Construction
Vendor,0.15,950.00,4426.00,Sales & Marketing
Yacht Broker,0.15,886.00,3668.00,Hospitality
Certified Nursing Assistant,0.15,438.00,1579.00,Communication & PR
Clinical Nursing Instructor,0.15,668.00,2878.00,Data & IT
Mds Nurse,0.15,472.00,1856.00,Administrative & Clerical
Nurse Anesthetist,0.15,444.00,1696.00,Leadership & Strategy
Nurse Educator,0.15,562.00,2345.00,Medical & Healthcare
Telephone Triage Nurse,0.15,535.00,2609.00,Supply Chain & Logistics
Triage Nurse,0.15,510.00,2369.00,Law Enforcement
Camp Director,0.15,805.00,3243.00,Construction
Community Planner,0.15,845.00,3610.00,Sales & Marketing
Night,0.15,245.00,912.00,Hospitality
Signing Agent,0.15,333.00,1851.00,Communication & PR
Traveler,0.15,708.00,3088.00,Data & IT
Assistant Engineer,0.15,845.00,3010.00,Administrative & Clerical
Boiler Operator,0.15,676.00,2196.00,Leadership & Strategy
Bridge Inspector,0.15,787.00,2764.00,Medical & Healthcare
Building Engineer,0.15,1009.00,4044.00,Supply Chain & Logistics
Civil Engineering Technician,0.15,987.00,3995.00,Law Enforcement
Construction Inspector,0.15,898.00,3614.00,Construction
Corrosion Technician,0.15,750.00,2541.00,Sales & Marketing
Cost Engineer,0.15,1011.00,3766.00,Hospitality
Director Of Engineering,0.15,1180.00,4432.00,Communication & PR
Electrical Engineering Technician,0.15,1075.00,4411.00,Data & IT
Engineering Director,0.15,1159.00,4344.00,Administrative & Clerical
Engineering Manager,0.15,1164.00,4382.00,Leadership & Strategy
Engineering Technician,0.15,1045.00,4243.00,Medical & Healthcare
Gas Technician,0.15,545.00,2418.00,Supply Chain & Logistics
Human Factors Engineer,0.15,729.00,2803.00,Law Enforcement
Industrial Electrician,0.15,507.00,2062.00,Construction
Industrial Mechanic,0.15,535.00,2331.00,Sales & Marketing
Instrument Technician,0.15,771.00,3035.00,Hospitality
Junior Engineer,0.15,966.00,3547.00,Communication & PR
Mechanical Engineering Technician,0.15,469.00,1710.00,Data & IT
Nuclear Engineer,0.15,458.00,1671.00,Administrative & Clerical
Plumbing Engineer,0.15,457.00,1654.00,Leadership & Strategy
Power Plant Engineer,0.15,152.00,626.00,Medical & Healthcare
Refrigeration Engineer,0.15,122.00,500.00,Supply Chain & Logistics
Stationary Engineer,0.15,117.00,503.00,Law Enforcement
Utility Locator,0.15,271.00,995.00,Construction
Emergency Management,0.15,826.00,3271.00,Sales & Marketing
Management Assistant,0.15,962.00,3872.00,Hospitality
Office Associate,0.15,982.00,3843.00,Communication & PR
Office Manager,0.15,1000.00,3894.00,Data & IT
Operations Associate,0.15,912.00,3664.00,Administrative & Clerical
Personal Assistant,0.15,1100.00,4371.00,Leadership & Strategy
Practice Administrator,0.15,832.00,3703.00,Medical & Healthcare
Practice Manager,0.15,833.00,3704.00,Supply Chain & Logistics
Senior Executive Assistant,0.15,798.00,3866.00,Law Enforcement
Shift Supervisor,0.15,721.00,3260.00,Construction
Team Lead,0.15,1183.00,5129.00,Sales & Marketing
Aircraft Dispatcher,0.15,450.00,1829.00,Hospitality
Aircraft Electrician,0.15,371.00,1529.00,Communication & PR
Airport Attendant,0.15,333.00,1591.00,Data & IT
Bus Aide,0.15,256.00,995.00,Administrative & Clerical
Dispatch Manager,0.15,832.00,3352.00,Leadership & Strategy
Fleet Coordinator,0.15,666.00,2965.00,Medical & Healthcare
Fleet Mechanic,0.15,630.00,2580.00,Supply Chain & Logistics
Flight Coordinator,0.15,676.00,3031.00,Law Enforcement
Flight Engineer,0.15,459.00,1956.00,Construction
Helicopter Mechanic,0.15,426.00,1804.00,Sales & Marketing
Patient Escort,0.15,459.00,1880.00,Hospitality
Signal Maintainer,0.15,115.00,440.00,Communication & PR
Terminal Operator,0.15,481.00,1893.00,Data & IT
Traffic Controller,0.15,499.00,2201.00,Administrative & Clerical
Transit Bus Driver,0.15,322.00,1266.00,Leadership & Strategy
Transit Operator,0.15,325.00,1277.00,Medical & Healthcare
Transport Driver,0.15,317.00,1305.00,Supply Chain & Logistics
Van Driver,0.15,314.00,1244.00,Law Enforcement
Bakery Assistant,0.15,366.00,1362.00,Construction
Barback,0.15,308.00,1246.00,Sales & Marketing
Barista,0.14,329.00,1429.00,Hospitality
Bartender,0.14,343.00,1462.00,Communication & PR
Breakfast Attendant,0.13,271.00,1062.00,Data & IT
Cart Attendant,0.13,270.00,1124.00,Administrative & Clerical
Golf Cart Attendant,0.13,374.00,1625.00,Leadership & Strategy
Lifeguard,0.12,265.00,1038.00,Medical & Healthcare
Mental Health Worker,0.12,596.00,2250.00,Supply Chain & Logistics
Neonatologist,0.12,404.00,1453.00,Law Enforcement
Nephrologist,0.12,393.00,1431.00,Construction
Neurologist,0.12,423.00,1494.00,Sales & Marketing
Neuropsychologist,0.12,443.00,1739.00,Hospitality
Neurosurgeon,0.12,393.00,1425.00,Communication & PR
Ob Gyn,0.12,410.00,1462.00,Data & IT
Obstetrician,0.12,412.00,1462.00,Administrative & Clerical
Occupational Medicine Physician,0.12,411.00,1457.00,Leadership & Strategy
Oncologist,0.12,416.00,1455.00,Medical & Healthcare
Ophthalmologist,0.12,389.00,1468.00,Supply Chain & Logistics
Oral Surgeon,0.12,378.00,1405.00,Law Enforcement
Orthodontist,0.12,377.00,1416.00,Construction
Orthopaedic Surgeon,0.12,391.00,1430.00,Sales & Marketing
Orthopedic Nurse Practitioner,0.12,438.00,1543.00,Hospitality
Orthopedic Surgeon,0.12,393.00,1427.00,Communication & PR
Outpatient Therapist,0.12,540.00,2059.00,Data & IT
Pathologist,0.12,422.00,1559.00,Administrative & Clerical
Pediatric Cardiologist,0.12,412.00,1477.00,Leadership & Strategy
Pediatric Dentist,0.12,397.00,1444.00,Medical & Healthcare
Pediatric Hospitalist,0.12,454.00,1551.00,Supply Chain & Logistics
Pediatrician,0.12,451.00,1529.00,Law Enforcement
Periodontist,0.12,375.00,1397.00,Construction
Physician,0.12,540.00,2130.00,Sales & Marketing
Physician Assistant,0.12,540.00,2123.00,Hospitality
Plastic Surgeon,0.12,365.00,1391.00,Communication & PR
Podiatrist,0.12,363.00,1357.00,Data & IT
Prosthetist,0.12,324.00,1396.00,Administrative & Clerical
Prosthodontist,0.12,388.00,1744.00,Leadership & Strategy
Public Health Dentist,0.12,455.00,1942.00,Medical & Healthcare
Registered Dietitian,0.12,491.00,2022.00,Supply Chain & Logistics
